group,team,p_1st,p_2nd,p_3rd,p_4th,exp_pts,exp_gd,exp_gf
A,Mexico,1.0,0.0,0.0,0.0,9.0,6.0,6.0
A,South Korea,0.0,0.0,1.0,0.0,3.0,-1.0,2.0
A,South Africa,0.0,1.0,0.0,0.0,4.0,-1.0,2.0
A,Czech Republic,0.0,0.0,0.0,1.0,1.0,-4.0,2.0
B,Switzerland,1.0,0.0,0.0,0.0,7.0,4.0,7.0
B,Canada,0.0,1.0,0.0,0.0,4.0,5.0,8.0
B,Qatar,0.0,0.0,0.0,1.0,1.0,-8.0,2.0
B,Bosnia and Herzegovina,0.0,0.0,1.0,0.0,4.0,-1.0,5.0
C,Brazil,1.0,0.0,0.0,0.0,7.0,6.0,7.0
C,Morocco,0.0,1.0,0.0,0.0,7.0,3.0,6.0
C,Scotland,0.0,0.0,1.0,0.0,1.0,-4.0,1.0
C,Haiti,0.0,0.0,0.0,1.0,1.0,-5.0,3.0
D,United States,1.0,0.0,0.0,0.0,6.0,4.0,8.0
D,Paraguay,0.0,0.0,1.0,0.0,4.0,-2.0,2.0
D,Australia,0.0,1.0,0.0,0.0,4.0,0.0,2.0
D,Turkey,0.0,0.0,0.0,1.0,3.0,-2.0,3.0
E,Germany,1.0,0.0,0.0,0.0,6.0,6.0,10.0
E,Ecuador,0.0,0.0,1.0,0.0,4.0,0.0,2.0
E,Ivory Coast,0.0,1.0,0.0,0.0,6.0,2.0,4.0
E,Curaçao,0.0,0.0,0.0,1.0,1.0,-8.0,1.0
F,Netherlands,1.0,0.0,0.0,0.0,7.0,6.0,10.0
F,Japan,0.0,1.0,0.0,0.0,5.0,4.0,7.0
F,Tunisia,0.0,0.0,0.0,1.0,0.0,-10.0,2.0
F,Sweden,0.0,0.0,1.0,0.0,4.0,0.0,7.0
G,Belgium,1.0,0.0,0.0,0.0,5.0,4.0,6.0
G,Iran,0.0,0.0,1.0,0.0,3.0,0.0,3.0
G,Egypt,0.0,1.0,0.0,0.0,5.0,2.0,5.0
G,New Zealand,0.0,0.0,0.0,1.0,1.0,-6.0,4.0
H,Spain,1.0,0.0,0.0,0.0,7.0,5.0,5.0
H,Uruguay,0.0,0.0,1.0,0.0,2.0,-1.0,3.0
H,Saudi Arabia,0.0,0.0,0.0,1.0,2.0,-4.0,1.0
H,Cape Verde,0.0,1.0,0.0,0.0,3.0,0.0,2.0
I,France,1.0,0.0,0.0,0.0,9.0,8.0,10.0
I,Senegal,0.0,0.0,1.0,0.0,3.0,2.0,8.0
I,Norway,0.0,1.0,0.0,0.0,6.0,1.0,8.0
I,Iraq,0.0,0.0,0.0,1.0,0.0,-11.0,1.0
J,Argentina,1.0,0.0,0.0,0.0,9.0,7.0,8.0
J,Austria,0.0,1.0,0.0,0.0,4.0,0.0,6.0
J,Algeria,0.0,0.0,1.0,0.0,4.0,-2.0,5.0
J,Jordan,0.0,0.0,0.0,1.0,0.0,-5.0,3.0
K,Colombia,1.0,0.0,0.0,0.0,7.0,3.0,4.0
K,Portugal,0.0,1.0,0.0,0.0,5.0,5.0,6.0
K,Uzbekistan,0.0,0.0,0.0,1.0,0.0,-9.0,2.0
K,DR Congo,0.0,0.0,1.0,0.0,4.0,1.0,4.0
L,England,1.0,0.0,0.0,0.0,7.0,4.0,6.0
L,Croatia,0.0,1.0,0.0,0.0,6.0,0.0,5.0
L,Panama,0.0,0.0,0.0,1.0,0.0,-4.0,0.0
L,Ghana,0.0,0.0,1.0,0.0,4.0,0.0,2.0
